version	ruby	concurrency	scenario	phase	allocations	milliseconds	machine	tree	scenarios
v1.2.34	4.0	off	flat_10	resolve	283	0.055	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	flat_10	render	2001	0.298	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	flat_100	resolve	1182	0.182	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	flat_100	render	17841	2.469	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	sparse_100	resolve	1200	0.194	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	sparse_100	render	16461	2.148	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	include_1	resolve	3801	0.768	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	include_1	render	26522	4.033	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	include_2	resolve	4345	0.994	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	include_2	render	35408	5.663	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	include_3	resolve	7077	1.499	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	include_3	render	47172	7.376	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	siblings_50	resolve	5839	18.237	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	siblings_50	render	36521	24.026	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	chain_and_sibling_50	resolve	6382	23.761	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	chain_and_sibling_50	render	45406	32.023	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	deep_and_sibling_50	resolve	9114	31.238	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	deep_and_sibling_50	render	57169	39.873	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	stats_100	resolve	1201	0.186	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	off	stats_100	render	17864	2.394	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	flat_10	resolve	283	0.055	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	flat_10	render	2001	0.305	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	flat_100	resolve	1182	0.192	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	flat_100	render	17841	2.549	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	sparse_100	resolve	1200	0.189	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	sparse_100	render	16461	2.047	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	include_1	resolve	3844	10.439	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	include_1	render	26565	14.342	Apple M1 Max/10	42640aaf9400	2b9685be19cf
v1.2.34	4.0	on	include_2	resolve	4431	12.746	Apple M1 Max/10	42640aaf9400	2b9685be19cf
